AHT00092	FCV_02_PDELAY_A	304103952	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00093	FCV_02_PLENGTH_A	304098832	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00094	FCV_03_PDELAY_A	304104464	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00095	FCV_03_PLENGTH_A	304099344	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00096	FCV_04_PDELAY_A	304104976	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00097	FCV_04_PLENGTH_A	304099856	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00098	FCV_05_PDELAY_A	304105488	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00099	FCV_05_PLENGTH_A	304100368	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00100	FCV_06_PDELAY_A	304106000	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00101	FCV_06_PLENGTH_A	304100880	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00102	FCV_07_PDELAY_A	304106512	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00103	FCV_07_PLENGTH_A	304101392	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00104	FCV_08_PDELAY_A	304107024	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00105	FCV_08_PLENGTH_A	304101904	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00106	FCV_09_PDELAY_A	304107536	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00107	FCV_09_PLENGTH_A	304102416	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00108	FCV_10_PDELAY_A	304108048	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00109	FCV_10_PLENGTH_A	304102928	ms	3	12		SCT44074		N	R	1050	F	N	2		4	1	
AHT00110	FCV_01_PDELAY_B	320880656	ms	3	12		SCT44075		N	R	1050	F	N	2		4	1	
AHT00111	FCV_01_PLENGTH_B	320875536	ms	3	12		SCT44075		N	R	1050	F	N	2		4	1	
AHT00112	FCV_02_PDELAY_B	320881168	ms	3	12		SCT44075		N	R	1050	F	N	2		4	1	
