TCS150	3	TCT Descriptors HKTM 21-24
TCS160	3	TCT Descriptors HKTM 25-28
TCS170	3	TCT Descriptors HKTM 29-32
TCS200	3	TCS Descriptor Status 1 - 8
TCS210	3	TCS Descriptor Status 9 - 16
TCS220	3	TCS Descriptor Status 17 - 24
TCS230	3	TCS Descriptor Status 25 - 32
TEMP_32	1	Temporary Display
TEMP_64	3	Temporary Display
ALD0003	3	ALADIN ACTIVATION STATUS CHECKS
