1282	PCDU Spare 2 LCL A Current A	R	U	D	A	2	
1283	PCDU SurvPow2A Current  A	R	U	D	A	2	
1284	PCDU ThermHeatGrp 1 A Current A	R	U	D	A	2	
1285	PCDU ThermHeatGrp 2 A Current A	R	U	D	A	2	
1286	PCDU SWHeatGrp 1 A Current A	R	U	D	A	2	
1287	PCDU SWHeatGrp 2 A Current A	R	U	D	A	2	
1288	PCDU SWHeatGrp 3 A Current A	R	U	D	A	2	
1289	PCDU SWHeatGrp 4 A Current A	R	U	D	A	2	
1290	PCDU SWHeatGrp 5 A Current A	R	U	D	A	2	
1291	PCDU SWHeatGrp 6 A Current A	R	U	D	A	2	
1292	PCDU SWHeatGrp 7 A Current A	R	U	D	A	2	
1293	PCDU SWHeatGrp 8 A Current A	R	U	D	A	2	
1295	PCDU Spare LCL Current A	R	U	D	A	2	
1296	PCDU Spare LCL Current A	R	U	D	A	2	
1297	PCDU X-band A Current A	R	U	D	A	2	
1298	PCDU MTM A Current A	R	U	D	A	2	
1299	PCDU Star Tracker A Current A	R	U	D	A	2	
1300	PCDU GPS Receiver A Current A	R	U	D	A	2	
1301	PCDU Spare LCL Current A	R	U	D	A	2	
1302	PCDU CONV-1 Current reg A	R	U	D	A	2	
1303	PCDU CONV-1 Current ana A	R	U	D	A	2	
1307	PCDU Wheel 1 Current (LCL-8) A	R	U	D	A	2	
1308	PCDU Wheel 2 Current (LCL-9) A	R	U	D	A	2	
1310	PCDU Wheel 1 Current (LCL-11) A	R	U	D	A	2	
1311	PCDU Wheel 2 Current (LCL-12) A	R	U	D	A	2	
1312	PCDU CDMU IOG 1 Current A	R	U	D	A	2	
1313	PCDU CDMU PM B Current A	R	U	D	A	2	
1314	PCDU CONV-2 Current (reg) A	R	U	D	A	2	
1315	PCDU CONV-2 Current (ana) A	R	U	D	A	2	
1318	PCDU Spare LCL Current A	R	U	D	A	2	
1319	PCDU Spare LCL Current A	R	U	D	A	2	
1320	PCDU X-Band B Current A	R	U	D	A	2	
1321	PCDU MTM B Current A	R	U	D	A	2	
1322	PCDU Star Tracker B Current A	R	U	D	A	2	
1323	PCDU GPS Receiver B Current A	R	U	D	A	2	
1325	PCDU CONV-3 Current (reg) A	R	U	D	A	2	
1326	PCDU CONV-3 Current (ana) A	R	U	D	A	2	
1330	PCDU Wheel 3 Current (LCL-8) A	R	U	D	A	2	
1331	PCDU Wheel 4 Current (LCL-9) A	R	U	D	A	2	
1333	PCDU Wheel 3 Current (LCL-11) A	R	U	D	A	2	
1334	PCDU Wheel 4 Current (LCL-12) A	R	U	D	A	2	
1336	PCDU CDMU PM A Current A	R	U	D	A	2	
1337	PCDU CONV-4 Current (reg) A	R	U	D	A	2	
1338	PCDU CONV-4 Current (ana) A	R	U	D	A	2	
1341	PCDU FCB CDMU Current A	R	U	D	A	2	
1342	PCDU FCA S-Rx Current A	R	U	D	A	2	
1343	PCDU FCA-Spare Current  A	R	U	D	A	2	
1344	PCDU FCB-Spare Current A	R	U	D	A	2	
1345	PCDU Deployment B Current A	R	U	D	A	2	
1346	PCDU TK Converter B Current A	R	U	D	A	2	
1347	PCDU TK Converter B Voltage A	R	U	D	V	2	
1348	PCDU ACDM 2 B Current (LCL-15) A	R	U	D	A	2	
1349	PCDU ACDM 1 B Current A	R	U	D	A	2	
1350	PCDU CDMU IOP / IOS B Current A	R	U	D	A	2	
1351	PCDU TLE 1 B Current A	R	U	D	A	2	
1352	PCDU DEU B Current A	R	U	D	A	2	
1353	PCDU IMU 1 B Current A	R	U	D	A	2	
1354	PCDU IMU 2 B Current A	R	U	D	A	2	
1355	PCDU Press. Transd. B Current A	R	U	D	A	2	
1356	PCDU S-Band B Current A	R	U	D	A	2	
1358	PCDU Spare 4 LCL B Current A	R	U	D	A	2	
1359	PCDU CDMU IOG 3 Current A	R	U	D	A	2	
1360	PCDU ACDM 2 B Current (CL-16) A	R	U	D	A	2	
1361	PCDU ACDM 2 B Current (CL-17) A	R	U	D	A	2	
1362	PCDU Regulated Bus Voltage A	R	U	D	V	2	
1363	PCDU TLE 2 B Current (LCL-1) A	R	U	D	A	2	
1364	PCDU TLE 2 B Current (LCL-2) A	R	U	D	A	2	
1365	PCDU TLE 2 B Current (LCL-3) A	R	U	D	A	2	
1366	PCDU SurvPow1B Current (LCL-4) A	R	U	D	A	2	
1367	PCDU SurvPow1B Current (LCL-5) A	R	U	D	A	2	
1368	PCDU Spare 1 LCL B Current A	R	U	D	A	2	
1369	PCDU Spare 2 LCL B Current A	R	U	D	A	2	
1370	PCDU SurvPow2B Current A	R	U	D	A	2	
1371	PCDU ThermHeatGrp 1 B Current A	R	U	D	A	2	
1372	PCDU ThermHeatGrp 2 B Current A	R	U	D	A	2	
1373	PCDU SWHeatGrp 1 B Current A	R	U	D	A	2	
1374	PCDU SWHeatGrp 2 B Current A	R	U	D	A	2	
1375	PCDU SWHeatGrp 3 B Current A	R	U	D	A	2	
1376	PCDU SWHeatGrp 4 B Current A	R	U	D	A	2	
1377	PCDU SWHeatGrp 5 B Current A	R	U	D	A	2	
1378	PCDU SWHeatGrp 6 B Current A	R	U	D	A	2	
1379	PCDU SWHeatGrp 7 B Current A	R	U	D	A	2	
1380	PCDU SWHeatGrp 8 B Current A	R	U	D	A	2	
1382	PCDU CTRL-A 2nd voltage +15V A	R	U	D	V	2	
1383	PCDU CTRL-A 2nd voltage +5V A	R	U	D	V	2	
1384	PCDU CTRL-B 2nd voltage +15V A	R	U	D	V	2	
1385	PCDU CTRL-B 2nd voltage +5V A	R	U	D	V	2	
4001	OBT sample delta	R	I	D	ms	3	
7001	IMU_Temp_cal	R	U	D	DegC	20	
7002	IMU_OpPwrAdj12bit	R	I	D		2	
7004	IMU_OptPwrRef	R	U	D		3	
7005	IMU_OptPwrCmmd	R	U	D	uA	3	
7006	IMU_Source In Current	R	U	D	uA	3	
7007	IMU_OptPwrMeas	R	U	D	mV	3	
7008	IMU_5V Sec Voltage	R	U	D	mV	3	
7009	IMU_Voltage	R	U	D	mV	3	
7010	RWU_Speed_cal	R	U	D	RPM	2	
7030	CDMU CBT IOPA FCV 1A	R	U	D	degC	6	
7031	CDMU CBT IOPA FCV 1B	R	U	D	degC	6	
7032	CDMU CBT IOPA FCV 2A	R	U	D	degC	6	
7033	CDMU CBT IOPA FCV 2B	R	U	D	degC	6	
7034	CDMU CBT IOPA FCV 3A	R	U	D	degC	6	
7035	CDMU CBT IOPA FCV 3B	R	U	D	degC	6	
7036	CDMU CBT IOPA FCV 4A	R	U	D	degC	6	
7037	CDMU CBT IOPA FCV 4B	R	U	D	degC	6	
7038	CDMU CBT IOPA FCV 5A	R	U	D	degC	6	
7039	CDMU CBT IOPA FCV 5B	R	U	D	degC	6	
8001	 Th Ctrl / CC1 Param	R	I	D	W/°C	2	
8002	 Th Ctrl / CC2 Param	R	I	D	W/°C	2	
8003	 Th Ctrl / CC3 Param	R	I	D	W/°C	2	
8004	 Th Ctrl / CC4 Param	R	I	D		2	
8005	 Th Ctrl / CC5 Param	R	I	D		2	
8007	 Th Ctrl / LINEAR HtrS V	R	U	D	V	2	
8008	 Th Ctrl / Htr  RESISTOR	R	U	D	Ohms	2	
8009	 Th Ctrl / Outmax	R	U	D		2	
8010	 Th Ctrl/ SET P SCAL FAC	R	I	D	°C	2	
8011	 Th Ctrl / LINEAR HtrS V	R	U	D	V	2	
8015	 BURST DURATION Param	R	U	D	s	2	
8016	 LASER WARMING DURATION	R	U	D	s	2	
8017	 CHOP_SYNC Param	R	U	D	ms	2	
8018	 Temp IF A1 [-5 ; + 40] 	R	U	D	°C	20	
8019	 Temp IF B [ +7 ; +29 ]	R	U	D	°C	8	
8020	 Temp IF C [ +12 ;+35 ]	R	U	D	°C	4	
8022	All PT 1000	R	U	D	°C	18	
8023	 Temp A2 [ TS2 ]	R	U	D	°C	19	
8024	 Pwr Cmd ON LINEAR Htr 	R	U	D		2	
8025	Pwr Cmd ON PULSED Htr 	R	U	D		2	
8026	 DEU A Sec VOLTAGE	R	U	D	V	2	
8027	 DEU A Prim CURRENT	R	U	D	A	2	
8028	 TLE BR Sec VOLTAGE	R	U	D	V	3	
8029	 TLE BR Prim CURRENT	R	U	D	A	3	
8030	 LCA Sec VOLTAGE	R	U	D	V	2	
8031	 LCA Prim CURRENT	R	U	D	A	2	
8032	 PULSED Htr VOLTAGE	R	U	D	V	2	
8033	 LINEAR Htr +28V VOLTAGE	R	U	D	V	2	
8035	 Prim CURR. ON ACDM_PWR	R	U	D	A	3	
8038	 BRC COUNTER	R	U	D		2	
8039	 POWER MAX	R	U	D	W	2	
8040	 Th Ctrl / SET POINT SCA	R	I	D	°C	2	
8042	 DELAY Param (LSB) / DT1	R	U	D	ms	2	
8044	 DELAY Param (LSB) / DT3	R	U	D	ms	2	
8045	 DELAY Param / DT3_VAR	R	U	D	ms	2	
8047	 DELAY Param (LSB) / DT4	R	U	D	ms	2	
8076	 Th Ctrl / PULSED HtrS V	R	U	D	V	2	
8077	 DEU B Sec VOLTAGE	R	U	D	V	2	
8078	 DEU B Prim CURRENT	R	U	D	A	2	
8082	Missing curve	R	U	D		18	
8101	G15K range A1	R	U	D	°C	20	
8102	G15K range A2	R	U	D	°C	20	
8103	G15K range A3	R	U	D	°C	20	
8104	Missing curve	R	U	D		16	
8105	Missing curve	R	U	D		16	
8106	Missing curve	R	U	D		16	
8107	Missing curve	R	U	D		16	
8108	Missing curve	R	U	D		16	
8109	Missing curve	R	U	D		16	
8116	Missing curve	R	U	D		16	
8130	Missing curve	R	U	D		16	
8132	Missing curve	R	U	D		16	
8133	Missing curve	R	U	D		16	
8138	Missing curve	R	U	D		16	
8139	Missing curve	R	U	D		16	
8140	Missing curve	R	U	D		16	
8141	Missing curve	R	U	D		16	
8146	Missing curve	R	U	D		16	
8147	Missing curve	R	U	D		16	
8148	Missing curve	R	U	D		16	
8149	Missing curve	R	U	D		16	
8202	 Nb OF MeasS	R	U	D		2	
