AOC1000		3		Y	N	Thruster AccTime
AOC1000	AST76335	4		Y	N	
AOC1000	AST76336	5		Y	N	
AOC1000	AST76337	6		Y	N	
AOC1000	AST76338	7		Y	N	
AOC1000	SCT44014	8		Y	N	
AOC1000	SCT44015	9		Y	N	
AOC1000	SCT44134	10		Y	N	
AOC1000	SCT44135	11		Y	N	
AOC1000		12		Y	N	Sun vector
AOC1000	AST76189	13		Y	N	
AOC1000	AST76190	14		Y	N	
AOC1000	AST76191	15		Y	N	
AOC1000		16		Y	N	Earth vector
AOC1000	AST76195	17		Y	N	
AOC1000	AST76196	18		Y	N	
AOC1000	AST76197	19		Y	N	
AOC1000		20		Y	N	MTQ-A
AOC1000	SCT44166	21		Y	N	
AOC1000	SCT44046	22		Y	N	
AOC1000		23		Y	N	MTQ-B
AOC1000	SCT44167	24		Y	N	
AOC1000	SCT43982	25		Y	N	
AOC1000	SCT44047	26		Y	N	
AOC1000		27		Y	N	IMU
AOC1000	SCT44039	28		Y	N	
AOC1000	SCT44040	29		Y	N	
AOC1000	SCT44041	30		Y	N	
AOC1000	SCT44042	31		Y	N	
AOC1000		32		Y	N	AST
AOC1000	SCT44035	33		Y	N	
AOC1000	SCT44036	34		Y	N	
AOC1000		35		Y	N	GPS
AOC1000	SCT44037	36		Y	N	
AOC1000	SCT44038	37		Y	N	
AOC1000		38		Y	N	RMU
AOC1000	AHT00025	39		Y	N	
AOC1000	AHT00026	40		Y	N	
AOC1000	AHT00027	41		Y	N	
AOC1000	SCT44043	42		Y	N	
AOC1000	PAT00007	43		Y	N	
AOC1000	AHT00028	44		Y	N	
AOC1000	AHT00029	45		Y	N	
AOC1000	AHT00030	46		Y	N	
AOC1000		47		Y	N	WDE
AOC1000	SCT44048	48		Y	N	
AOC1000	SCT44049	49		Y	N	
AOC1000	SCT44050	50		Y	N	
AOC1000	SCT44051	51		Y	N	
AOC1000		52		Y	N	MTM-A
AOC1000	SCT44044	53		Y	N	
AOC1000	SCT44164	54		Y	N	
AOC1000		55		Y	N	MTM_B
AOC1000	SCT44045	56		Y	N	
AOC1000	SCT44165	57		Y	N	
AOC1000	AHT20020	58		Y	N	
AOC1000	AHT20021	59		Y	N	
AOC1000	AHT20022	60		Y	N	
AOC1000	THT00063	61		Y	N	
AST0001	AST44226	0		Y	N	
AST0001	SCT43850	2		Y	N	
AST0001	SCT43970	3		Y	N	
AST0001	SCT44035	4		Y	N	
AST0001	SCT44095	5		Y	N	
AST0001	SCT44155	6		Y	N	
AST0001	PAT00001	8		Y	N	
AST0001	PAT00301	9		Y	N	
AST0001	THT00045	12		Y	N	
AST0001	AHT49669	14		Y	N	
AST0001	AHT49721	16		Y	N	
AST0001	AHT49720	17		Y	N	
AST0001	AHT49670	20		Y	N	
AST0001	AHT49671	21		Y	N	
AST0001	AHT49672	22		Y	N	
AST0001	AHT49673	23		Y	N	
AST0001	AHT49682	24		Y	N	
AST0001	AHT49683	25		Y	N	
AST0001	AHT49681	27		Y	N	
AST0001	AHT49680	28		Y	N	
AST0001	SCT43851	34		Y	N	
AST0001	SCT43971	35		Y	N	
AST0001	SCT44036	36		Y	N	
AST0001	SCT44096	37		Y	N	
AST0001	SCT44156	38		Y	N	
AST0001	PAT20001	40		Y	N	
AST0001	PAT20301	41		Y	N	
AST0001	THT00245	44		Y	N	
AST0001	AHT59669	46		Y	N	
AST0001	AHT59721	48		Y	N	
AST0001	AHT59720	49		Y	N	
AST0001	AHT59670	52		Y	N	
AST0001	AHT59671	53		Y	N	
AST0001	AHT59672	54		Y	N	
AST0001	AHT59673	55		Y	N	
AST0001	AHT49682	56		Y	N	
AST0001	AHT59683	57		Y	N	
AST0001	AHT59681	59		Y	N	
AST0001	AHT59680	60		Y	N	
AST0005	AST50304	1		Y	N	
AST0005	AST50309	2		Y	N	
AST0005	AST50311	3		Y	N	
AST0005	SCT45731	5		Y	N	
AST0005	AST61103	33		Y	N	
AST0005	AST61106	34		Y	N	
AST0005	AST61107	35		Y	N	
AST0005	SCT45732	37		Y	N	
AST0100	SCT44035	0		Y	N	
AST0100	SCT44095	1		Y	N	
AST0100	SCT44155	2		Y	N	
AST0100	PAT00301	3		Y	N	
AST0100	AHT49669	4		Y	D	
AST0100	AHT49659	6	1	Y	N	
AST0100	AHT49659	7	2	Y	D	
AST0100	AHT49660	8	1	Y	N	
AST0100	AHT49660	9	2	Y	D	
AST0100	AHT49661	10	1	Y	D	
AST0100	AHT49661	11	2	Y	D	
AST0100	AHT49662	12	1	Y	D	
AST0100	AHT49662	13	2	Y	N	
AST0100	AHT49663	15		Y	D	
AST0100	AHT49664	16		Y	D	
AST0100	AHT49665	17		Y	D	
AST0100	AHT49666	18		Y	N	
AST0100	AHT49667	20		Y	D	
AST0100	AHT49668	21		Y	N	
AST0100	AST60901	24		Y	N	
AST0100	AST60902	25		Y	N	
AST0100	AST60903	26		Y	N	
AST0100	AST60904	27		Y	N	
AST0100	SCT44036	32		Y	N	
AST0100	SCT44096	33		Y	N	
AST0100	SCT44156	34		Y	N	
AST0100	PAT20301	35		Y	N	
AST0100	AHT59669	36		Y	D	
AST0100	AHT59659	41		Y	D	
AST0100	AHT59660	42		Y	D	
AST0100	AHT59661	43		Y	D	
AST0100	AHT59662	44		Y	D	
AST0100	AHT59663	57		Y	N	
AST0100	AHT59664	58		Y	N	
AST0100	AHT59665	59		Y	N	
AST0100	AHT59666	60		Y	N	
AST0100	AHT59667	62		Y	N	
AST0100	AHT59668	63		Y	N	
AST0200	SCT44035	4		Y	N	
AST0200	SCT44095	5		Y	N	
AST0200	SCT44155	6		Y	N	
AST0200	THT00045	11		Y	N	
AST0200	PAT00301	13		Y	N	
AST0200	AHT49669	15		Y	D	
AST0200	AHT49671	18		Y	D	
AST0200	AHT49670	19		Y	D	
AST0200	AHT49672	21		Y	D	
