1007	0	-0.014709482
1007	4095	10.02451188
1008	0	-0.018
1008	4095	12.18045186
1009	0	-0.017
1009	4095	11.80743449
1010	0	9999.0
1010	100	84.29736276
1010	1000	16.07291854
1010	1170	11.49823392
1010	1295	8.459905219
1010	150	70.9127652
1010	1550	2.85312597
1010	1850	-3.087516345
1010	250	55.30054684
1010	2670	-18.18541176
1010	2950	-23.67148117
1010	3200	-29.12418475
1010	3400	-34.17330039
1010	3530	-38.00689475
1010	3630	-41.42310745
1010	400	41.76865541
1010	500	35.51128405
1010	660	27.7816467
1010	770	23.47791588
1010	910	18.76792945
1011	0	-5.253507673
1011	4095	5.263776858
1012	0	112.15
1012	1100	40.25
1012	1300	33.19
1012	1500	27.32
1012	1700	22.38
1012	1900	18.11
1012	2100	14.25
1012	2300	10.53
1012	2500	6.7
1012	2700	2.49
1012	2900	-2.34
1012	300	85.67
1012	3100	-8.06
1012	3300	-14.94
1012	3500	-23.21
1012	3700	-33.14
1012	4095	-56.55
1012	500	71.21
1012	700	58.99
1012	900	48.76
1013	0	-242.515
1013	1068	-149.9651423
1013	1286	-129.9805853
1013	1500	-110.0424893
1013	1712	-89.99533809
1013	1921	-69.95975954
1013	2127	-49.96088735
1013	2330	-30.02032186
1013	2532	-9.956225665
1013	2731	10.02191343
1013	2928	30.00756039
1013	3123	49.99856988
1013	3316	69.99286257
1013	3507	89.98830215
1013	3696	109.9826989
1013	3883	129.9738073
1013	4068	149.959325
1014	0	-5
1014	4095	4.997558594
1015	0	9999.0
1015	2250	90.47169598
1015	2350	76.10171525
1015	2450	65.94162378
1015	2550	57.94948124
1015	2650	51.24848877
1015	2750	45.37972358
1015	2850	40.06940855
1015	2950	35.13675157
1015	3050	30.45094571
1015	3150	25.90812287
1015	3250	21.41693818
1015	3350	16.88741196
1015	3450	12.21946052
1015	3550	7.287051378
1015	3650	1.910302016
1015	3750	-4.204412608
1015	3850	-11.62307373
1015	3950	-21.75666327
1015	4050	-40.99263178
1016	0	-5
1016	4095	4.997558594
1017	0	-5.889281508
1017	4095	5.886405882
1018	0	-0.634308477
1018	4095	0.633998756
1019	0	0
1019	4095	9.997558594
102	0	0
102	65535	365
1020	0	0
1020	4095	0.544796808
1021	0	-257.50
1021	1000	158.50
1021	1150	221.44
1021	1300	284.53
1021	1450	347.75
1021	1600	411.12
1021	1750	474.64
1021	1900	538.30
1021	2050	602.11
1021	2200	666.06
1021	2350	730.16
1021	2500	794.40
1021	2650	858.79
1021	2800	923.33
1021	2950	988.02
1021	3100	1052.85
1021	3250	1117.84
1021	550	-29.47
1021	700	33.04
1021	850	95.70
1022	0	0
1022	4095	9.997558594
1030	0	127
1030	1130	40
1030	1290	35
1030	1466	30
1030	1657	25
1030	1861	20
1030	2075	15
1030	2295	10
1030	2514	5
1030	2728	0
1030	286	90
1030	2932	-5
1030	3122	-10
1030	3293	-15
1030	3444	-20
1030	3685	-30
1030	3908	-45
1030	492	70
1030	651	60
1030	860	50
1041	0	-11.56
1041	3992	11
1042	0	-7.69
1042	3992	7.32
1050	0	0
1050	255	510
1200	0	-0.26217
1200	255	58.18383
1201	0	-0.40706
1201	255	58.27609
1202	0	-62.5506
1202	255	65.73225
1203	0	-0.11938
1203	255	7.43117
1204	0	-0.3427
1204	255	58.3328
1205	0	-1.194
1205	255	167.2845
1206	0	0.048
1206	255	13.053
1207	0	0.048
1207	255	13.053
1208	0	0.048
1208	255	13.053
1209	0	0.048
1209	255	13.053
1210	1088	-146.02
1210	1280	-127.50
1210	1472	-108.77
1210	1664	-89.85
1210	1856	-70.72
1210	2048	-51.39
1210	2240	-31.85
1210	2432	-12.10
1210	2624	7.85
1210	2816	28.02
1210	3008	48.41
1210	3200	69.01
1210	3392	89.83
1210	3584	110.88
1210	3776	132.14
